id,title,content
1,Python (programming language),"Python is an interpreted, high-level and general-purpose programming language. Its design philosophy emphasizes code readability with significant indentation."
2,Machine Learning,Machine learning is a subset of artificial intelligence focused on algorithms that improve automatically through data and experience.
3,Artificial Intelligence,"Artificial intelligence (AI) is intelligence demonstrated by machines, in contrast to the natural intelligence displayed by humans and animals."
4,Cricket,"Cricket is a bat-and-ball game played between two teams of eleven players. It is popular in countries like India, England, and Australia."
5,Football,"Football, also known as soccer, is the world's most popular sport, played between two teams of eleven players with a spherical ball."
6,World War II,"World War II was a global conflict that lasted from 1939 to 1945, involving most of the world's nations, including all the great powers."
7,Albert Einstein,"Albert Einstein was a German-born theoretical physicist who developed the theory of relativity, one of the two pillars of modern physics."
8,Isaac Newton,"Sir Isaac Newton was an English mathematician, physicist, astronomer, and author, widely recognized as one of the greatest scientists of all time."
9,Climate Change,"Climate change refers to long-term shifts in temperatures and weather patterns, primarily due to human activities like burning fossil fuels."
10,Photosynthesis,Photosynthesis is the process by which green plants and some other organisms use sunlight to synthesize nutrients from carbon dioxide and water.
11,Mount Everest,"Mount Everest is Earth's highest mountain above sea level, located in the Himalayas on the border between Nepal and China."
12,The Internet,The Internet is a global system of interconnected computer networks that use the standard Internet protocol suite (TCP/IP) to communicate.
13,Blockchain,Blockchain is a distributed ledger technology that maintains a secure and decentralized record of transactions across many computers.
14,ChatGPT,"ChatGPT is a conversational AI model developed by OpenAI, based on the GPT architecture, capable of generating human-like responses."
15,Space Exploration,"Space exploration is the investigation of outer space through telescopes, satellites, spacecraft, and human missions beyond Earth."
